question,Intent,Tables,Columns,Filters,Joins,RawResponse
List all products,List all products,products,*,None,None,"{""Intent"": ""List all products"", ""Tables"": ""products"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all customers,Retrieve all customers,customers,*,None,None,"{""Intent"": ""Retrieve all customers"", ""Tables"": ""customers"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show all orders,Retrieve all orders,orders,*,None,None,"{""Intent"": ""Retrieve all orders"", ""Tables"": ""orders"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all employees,List all employees,employees,*,None,None,"{""Intent"": ""List all employees"", ""Tables"": ""employees"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all offices,Retrieve all records,offices,*,None,None,"{""Intent"": ""Retrieve all records"", ""Tables"": ""offices"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show all product lines,Retrieve all product lines,productlines,*,None,None,"{""Intent"": ""Retrieve all product lines"", ""Tables"": ""productlines"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all payments,List all records,payments,*,None,None,"{""Intent"": ""List all records"", ""Tables"": ""payments"", ""Columns"": ""*"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get product names and prices,Retrieve product names and prices,products,"productName, price",None,None,"{""Intent"": ""Retrieve product names and prices"", ""Tables"": ""products"", ""Columns"": ""productName, price"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get customer names and cities,Retrieve customer names and cities,customers,"customerName, city",None,None,"{""Intent"": ""Retrieve customer names and cities"", ""Tables"": ""customers"", ""Columns"": ""customerName, city"", ""Filters"": ""None"", ""Joins"": ""None""}"
List employee first and last names,List employee names,employees,"firstName, lastName",None,None,"{""Intent"": ""List employee names"", ""Tables"": ""employees"", ""Columns"": ""firstName, lastName"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all order dates,Retrieve all order dates,orders,orderDate,None,None,"{""Intent"": ""Retrieve all order dates"", ""Tables"": ""orders"", ""Columns"": ""orderDate"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show product vendor list,Retrieve list of product vendors,products,productVendor,None,None,"{""Intent"": ""Retrieve list of product vendors"", ""Tables"": ""products"", ""Columns"": ""productVendor"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all product codes,Retrieve all product codes,products,productCode,None,None,"{""Intent"": ""Retrieve all product codes"", ""Tables"": ""products"", ""Columns"": ""productCode"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all countries from offices,List all countries,offices,country,None,None,"{""Intent"": ""List all countries"", ""Tables"": ""offices"", ""Columns"": ""country"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show all order statuses,Retrieve all order statuses,orders,status,None,None,"{""Intent"": ""Retrieve all order statuses"", ""Tables"": ""orders"", ""Columns"": ""status"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get all payment amounts,Retrieve all payment amounts,payments,amount,None,None,"{""Intent"": ""Retrieve all payment amounts"", ""Tables"": ""payments"", ""Columns"": ""amount"", ""Filters"": ""None"", ""Joins"": ""None""}"
List all job titles,List all job titles,employees,jobTitle,None,None,"{""Intent"": ""List all job titles"", ""Tables"": ""employees"", ""Columns"": ""jobTitle"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get customer phone numbers,Retrieve customer phone numbers,customers,phone,None,None,"{""Intent"": ""Retrieve customer phone numbers"", ""Tables"": ""customers"", ""Columns"": ""phone"", ""Filters"": ""None"", ""Joins"": ""None""}"
Show product MSRP values,Retrieve product MSRP values,products,MSRP,None,None,"{""Intent"": ""Retrieve product MSRP values"", ""Tables"": ""products"", ""Columns"": ""MSRP"", ""Filters"": ""None"", ""Joins"": ""None""}"
List order numbers,List order numbers,orders,orderNumber,None,None,"{""Intent"": ""List order numbers"", ""Tables"": ""orders"", ""Columns"": ""orderNumber"", ""Filters"": ""None"", ""Joins"": ""None""}"
Get orders with customer names,Retrieve orders with customer names,"orders, customers","orders.orderNumber, customers.customerName",None,orders.customerNumber = customers.customerNumber,"{""Intent"": ""Retrieve orders with customer names"", ""Tables"": ""orders, customers"", ""Columns"": ""orders.orderNumber, customers.customerName"", ""Filters"": ""None"", ""Joins"": ""orders.customerNumber = customers.customerNumber""}"
Get employees with office city,Retrieve employees with their office city,"employees, offices","employees.*, offices.city",None,employees.officeCode = offices.officeCode,"{""Intent"": ""Retrieve employees with their office city"", ""Tables"": ""employees, offices"", ""Columns"": ""employees.*, offices.city"", ""Filters"": ""None"", ""Joins"": ""employees.officeCode = offices.officeCode""}"
Get payments with customer names,Retrieve payments with customer names,"payments, customers","payments.*, customers.customerName",None,payments.customerNumber = customers.customerNumber,"{""Intent"": ""Retrieve payments with customer names"", ""Tables"": ""payments, customers"", ""Columns"": ""payments.*, customers.customerName"", ""Filters"": ""None"", ""Joins"": ""payments.customerNumber = customers.customerNumber""}"
Get order details with product names,Retrieve order details with product names,"orderdetails, products","orderdetails.*, products.productName",None,orderdetails.productCode = products.productCode,"{""Intent"": ""Retrieve order details with product names"", ""Tables"": ""orderdetails, products"", ""Columns"": ""orderdetails.*, products.productName"", ""Filters"": ""None"", ""Joins"": ""orderdetails.productCode = products.productCode""}"
Get products with product line description,Retrieve products with their product line descriptions,"products, productlines","products.productName, productlines.textDescription",None,products.productLine = productlines.productLine,"{""Intent"": ""Retrieve products with their product line descriptions"", ""Tables"": ""products, productlines"", ""Columns"": ""products.productName, productlines.textDescription"", ""Filters"": ""None"", ""Joins"": ""products.productLine = productlines.productLine""}"
Get customers with sales rep names,Retrieve customers with their sales representative names,"customers, employees","customers.customerName, employees.firstName, employees.lastName",None,customers.salesRepEmployeeNumber = employees.employeeNumber,"{""Intent"": ""Retrieve customers with their sales representative names"", ""Tables"": ""customers, employees"", ""Columns"": ""customers.customerName, employees.firstName, employees.lastName"", ""Filters"": ""None"", ""Joins"": ""customers.salesRepEmployeeNumber = employees.employeeNumber""}"
Get orders with customer city,Retrieve orders with customer city,"orders, customers","orders.orderNumber, customers.city",None,orders.customerNumber = customers.customerNumber,"{""Intent"": ""Retrieve orders with customer city"", ""Tables"": ""orders, customers"", ""Columns"": ""orders.orderNumber, customers.city"", ""Filters"": ""None"", ""Joins"": ""orders.customerNumber = customers.customerNumber""}"
Get employees and their manager,Retrieve employees and their managers,employees,"employeeNumber, firstName, lastName, reportsTo",None,employees.reportsTo = employees.employeeNumber (self join),"{""Intent"": ""Retrieve employees and their managers"", ""Tables"": ""employees"", ""Columns"": ""employeeNumber, firstName, lastName, reportsTo"", ""Filters"": ""None"", ""Joins"": ""employees.reportsTo = employees.employeeNumber (self join)""}"
Get orderdetails with product vendor,Retrieve order details with product vendor,"orderdetails, products","orderdetails.*, products.productVendor",None,orderdetails.productCode = products.productCode,"{""Intent"": ""Retrieve order details with product vendor"", ""Tables"": ""orderdetails, products"", ""Columns"": ""orderdetails.*, products.productVendor"", ""Filters"": ""None"", ""Joins"": ""orderdetails.productCode = products.productCode""}"
Get payments with customer country,Retrieve payments with customer country,"payments, customers","payments.*, customers.country",None,payments.customerNumber = customers.customerNumber,"{""Intent"": ""Retrieve payments with customer country"", ""Tables"": ""payments, customers"", ""Columns"": ""payments.*, customers.country"", ""Filters"": ""None"", ""Joins"": ""payments.customerNumber = customers.customerNumber""}"
Count customers per country,Count customers per country,customers,"country, COUNT(customerNumber)",None,None,"{""Intent"": ""Count customers per country"", ""Tables"": ""customers"", ""Columns"": ""country, COUNT(customerNumber)"", ""Filters"": ""None"", ""Joins"": ""None""}"
Total payments per customer,Sum total payments per customer,payments,"customerNumber, amount",None,None,"{""Intent"": ""Sum total payments per customer"", ""Tables"": ""payments"", ""Columns"": ""customerNumber, amount"", ""Filters"": ""None"", ""Joins"": ""None""}"
Number of orders per status,Count number of orders per status,orders,"status, COUNT(orderNumber)",None,None,"{""Intent"": ""Count number of orders per status"", ""Tables"": ""orders"", ""Columns"": ""status, COUNT(orderNumber)"", ""Filters"": ""None"", ""Joins"": ""None""}"
Products per product line,Count products per product line,products,"productLine, COUNT(productCode) AS productCount",None,None,"{""Intent"": ""Count products per product line"", ""Tables"": ""products"", ""Columns"": ""productLine, COUNT(productCode) AS productCount"", ""Filters"": ""None"", ""Joins"": ""None""}"
Employees per office,Count employees per office,"employees, offices","officeCode, employeeNumber",None,employees.officeCode = offices.officeCode,"{""Intent"": ""Count employees per office"", ""Tables"": ""employees, offices"", ""Columns"": ""officeCode, employeeNumber"", ""Filters"": ""None"", ""Joins"": ""employees.officeCode = offices.officeCode""}"
Total stock per product vendor,Sum total stock quantity,products,"productVendor, quantityInStock",None,None,"{""Intent"": ""Sum total stock quantity"", ""Tables"": ""products"", ""Columns"": ""productVendor, quantityInStock"", ""Filters"": ""None"", ""Joins"": ""None""}"
Average buy price per product line,Calculate average buy price,products,"productLine, buyPrice",None,None,"{""Intent"": ""Calculate average buy price"", ""Tables"": ""products"", ""Columns"": ""productLine, buyPrice"", ""Filters"": ""None"", ""Joins"": ""None""}"
Orders per customer,Count orders per customer,orders,"customerNumber, COUNT(orderNumber) AS orderCount",None,None,"{""Intent"": ""Count orders per customer"", ""Tables"": ""orders"", ""Columns"": ""customerNumber, COUNT(orderNumber) AS orderCount"", ""Filters"": ""None"", ""Joins"": ""None""}"
Max MSRP per product line,Find maximum MSRP,products,"productLine, MSRP",None,None,"{""Intent"": ""Find maximum MSRP"", ""Tables"": ""products"", ""Columns"": ""productLine, MSRP"", ""Filters"": ""None"", ""Joins"": ""None""}"
Min buy price per vendor,Find minimum buy price per vendor,"vendors, products","vendorName, buyPrice",None,vendors.vendorId = products.vendorId,"{""Intent"": ""Find minimum buy price per vendor"", ""Tables"": ""vendors, products"", ""Columns"": ""vendorName, buyPrice"", ""Filters"": ""None"", ""Joins"": ""vendors.vendorId = products.vendorId""}"
Total number of customers,Count total customers,customers,customerNumber,None,None,"{""Intent"": ""Count total customers"", ""Tables"": ""customers"", ""Columns"": ""customerNumber"", ""Filters"": ""None"", ""Joins"": ""None""}"
Total number of products,Count total products,products,product_id,None,None,"{""Intent"": ""Count total products"", ""Tables"": ""products"", ""Columns"": ""product_id"", ""Filters"": ""None"", ""Joins"": ""None""}"
Total revenue from payments,Calculate total revenue,payments,amount,None,None,"{""Intent"": ""Calculate total revenue"", ""Tables"": ""payments"", ""Columns"": ""amount"", ""Filters"": ""None"", ""Joins"": ""None""}"
Average product price,Calculate average,products,buyPrice,None,None,"{""Intent"": ""Calculate average"", ""Tables"": ""products"", ""Columns"": ""buyPrice"", ""Filters"": ""None"", ""Joins"": ""None""}"
Max payment amount,Find maximum payment amount,payments,amount,None,None,"{""Intent"": ""Find maximum payment amount"", ""Tables"": ""payments"", ""Columns"": ""amount"", ""Filters"": ""None"", ""Joins"": ""None""}"
Min payment amount,Find minimum payment amount,payments,amount,None,None,"{""Intent"": ""Find minimum payment amount"", ""Tables"": ""payments"", ""Columns"": ""amount"", ""Filters"": ""None"", ""Joins"": ""None""}"
Count total orders,Count total orders,orders,orderNumber,None,None,"{""Intent"": ""Count total orders"", ""Tables"": ""orders"", ""Columns"": ""orderNumber"", ""Filters"": ""None"", ""Joins"": ""None""}"
Total quantity in stock,Sum total quantity in stock,products,quantityInStock,None,None,"{""Intent"": ""Sum total quantity in stock"", ""Tables"": ""products"", ""Columns"": ""quantityInStock"", ""Filters"": ""None"", ""Joins"": ""None""}"
Average MSRP,Calculate average,products,MSRP,None,None,"{""Intent"": ""Calculate average"", ""Tables"": ""products"", ""Columns"": ""MSRP"", ""Filters"": ""None"", ""Joins"": ""None""}"
Number of employees,Count total employees,employees,employeeNumber,None,None,"{""Intent"": ""Count total employees"", ""Tables"": ""employees"", ""Columns"": ""employeeNumber"", ""Filters"": ""None"", ""Joins"": ""None""}"